age,male_qx,male_Lives,male_life_expectancy,female_qx,female_lives,female_life_expectancy
0,0.0060149999999999995,100000,75.79,0.005125,100000,81.06
1,4.7900000000000004e-4,99399,75.25,3.92e-4,99487,80.48
2,3.1999999999999997e-4,99351,74.28,2.29e-4,99448,79.51
3,2.49e-4,99319,73.31,1.8800000000000002e-4,99426,78.53
4,1.94e-4,99294,72.33,1.5500000000000003e-4,99407,77.54
5,1.5900000000000002e-4,99275,71.34,1.33e-4,99392,76.55
6,1.3700000000000002e-4,99259,70.35,1.15e-4,99378,75.56
7,1.25e-4,99246,69.36,1.05e-4,99367,74.57
8,1.2e-4,99233,68.36999999999999,1e-4,99357,73.58
9,1.2e-4,99221,67.38,9.800000000000001e-5,99347,72.59
10,1.25e-4,99210,66.39,1.01e-4,99337,71.59
11,1.4000000000000001e-4,99197,65.39,1.11e-4,99327,70.6
12,1.73e-4,99183,64.4,1.26e-4,99316,69.61
13,2.33e-4,99166,63.41,1.52e-4,99303,68.61999999999999
14,3.27e-4,99143,62.43,1.8800000000000002e-4,99288,67.63
15,4.6300000000000003e-4,99111,61.449999999999996,2.29e-4,99270,66.64
16,6.339999999999999e-4,99065,60.48,2.73e-4,99247,65.66
17,8.190000000000001e-4,99002,59.51,3.23e-4,99220,64.66999999999999
18,9.989999999999999e-4,98921,58.56,3.72e-4,99188,63.690000000000005
19,0.0011380000000000001,98822,57.620000000000005,4.1000000000000005e-4,99151,62.720000000000006
20,0.0012350000000000002,98709,56.690000000000005,4.4100000000000004e-4,99110,61.74
21,0.001315,98588,55.760000000000005,4.76e-4,99066,60.77
22,0.0013779999999999999,98458,54.83,5.13e-4,99019,59.8
23,0.001439,98322,53.9,5.46e-4,98968,58.83
24,0.001509,98181,52.98,5.82e-4,98914,57.86
25,0.001595,98033,52.06,6.09e-4,98857,56.9
26,0.0016849999999999999,97876,51.14,6.41e-4,98797,55.93
27,0.001783,97711,50.230000000000004,6.829999999999999e-4,98733,54.97
28,0.0018759999999999998,97537,49.32,7.4e-4,98666,54
29,0.00197,97354,48.41,8.08e-4,98593,53.04
30,0.002085,97162,47.5,8.78e-4,98513,52.08
31,0.002202,96960,46.6,9.469999999999999e-4,98427,51.13
32,0.002308,96746,45.7,0.001018,98333,50.18
33,0.0024070000000000003,96523,44.809999999999995,0.001089,98233,49.230000000000004
34,0.00249,96291,43.91,0.001154,98126,48.28
35,0.0025770000000000003,96051,43.02,0.001209,98013,47.339999999999996
36,0.002665,95803,42.13,0.001263,97895,46.39
37,0.0027640000000000004,95548,41.24,0.001347,97771,45.449999999999996
38,0.0028640000000000002,95284,40.36,0.001438,97639,44.51
39,0.002987,95011,39.47,0.001533,97499,43.58
40,0.0031149999999999997,94727,38.59,0.001643,97350,42.64
41,0.0032530000000000002,94432,37.71,0.0017420000000000003,97190,41.71
42,0.003419,94125,36.83,0.001845,97020,40.78
43,0.0036,93803,35.949999999999996,0.001954,96841,39.86
44,0.0037770000000000004,93465,35.08,0.002075,96652,38.93
45,0.003931,93112,34.21,0.002187,96452,38.01
46,0.004073,92746,33.339999999999996,0.002306,96241,37.1
47,0.004245,92369,32.48,0.0024380000000000005,96019,36.18
48,0.004477,91977,31.62,0.0025949999999999997,95785,35.27
49,0.004795,91565,30.759999999999998,0.002791,95536,34.36
50,0.005126,91126,29.9,0.00303,95269,33.449999999999996
51,0.005496,90659,29.05,0.0032880000000000006,94981,32.55
52,0.0059169999999999995,90160,28.21,0.0035540000000000003,94668,31.66
53,0.006404,89627,27.38,0.003847,94332,30.77
54,0.006923,89053,26.55,0.004172,93969,29.89
55,0.007491,88436,25.73,0.0045320000000000004,93577,29.01
56,0.008173,87774,24.919999999999998,0.004923,93153,28.14
57,0.008938,87056,24.12,0.005365,92694,27.279999999999998
58,0.009713999999999999,86278,23.34,0.005815,92197,26.419999999999998
59,0.010494,85440,22.56,0.006333,91661,25.57
60,0.011337,84544,21.79,0.006923,91080,24.73
61,0.012232000000000002,83585,21.04,0.007554999999999999,90450,23.9
62,0.013196000000000001,82563,20.29,0.00822,89767,23.08
63,0.014229,81473,19.56,0.008881,89029,22.27
64,0.015316,80314,18.830000000000002,0.009514,88238,21.459999999999997
65,0.016455000000000004,79084,18.12,0.010188,87399,20.66
66,0.017574000000000003,77783,17.41,0.01088,86508,19.87
67,0.018735,76416,16.71,0.011659,85567,19.08
68,0.019981000000000002,74984,16.02,0.012543,84569,18.3
69,0.021366000000000003,73486,15.34,0.013581000000000001,83509,17.53
70,0.022903,71916,14.66,0.014769,82374,16.759999999999998
71,0.024615,70269,14,0.016153,81158,16.01
72,0.026504000000000003,68539,13.34,0.017705000000000002,79847,15.26
73,0.028648,66722,12.69,0.019495000000000002,78433,14.53
74,0.031071,64811,12.05,0.021533,76904,13.81
75,0.033802000000000006,62797,11.42,0.023845999999999996,75248,13.1
76,0.03701,60675,10.8,0.026458000000000006,73454,12.41
77,0.04115800000000001,58429,10.19,0.029699999999999997,71510,11.729999999999999
78,0.045460999999999994,56024,9.61,0.033135000000000005,69387,11.08
79,0.050346,53477,9.04,0.036981999999999994,67087,10.44
80,0.05563300000000001,50785,8.5,0.041183000000000004,64606,9.82
81,0.061757,47960,7.970000000000001,0.045959,61946,9.219999999999999
82,0.06835799999999999,44998,7.46,0.051282,59099,8.639999999999999
83,0.07542000000000001,41922,6.970000000000001,0.057262,56068,8.08
84,0.08336400000000001,38760,6.5,0.064107,52857,7.54
85,0.09268,35529,6.04,0.07175200000000001,49469,7.02
86,0.103459,32236,5.609999999999999,0.08049,45919,6.53
87,0.11550200000000001,28901,5.2,0.09056600000000001,42223,6.05
88,0.12901800000000002,25563,4.81,0.10220400000000002,38399,5.609999999999999
89,0.14381000000000002,22265,4.45,0.115178,34475,5.1899999999999995
90,0.15945800000000004,19063,4.109999999999999,0.12917599999999999,30504,4.8
91,0.176551,16023,3.8,0.14422900000000002,26564,4.44
92,0.19536,13194,3.5,0.160353,22732,4.1
93,0.21628600000000003,10617,3.23,0.17763500000000002,19087,3.79
94,0.23879900000000004,8320,2.9899999999999998,0.196502,15697,3.5
95,0.262268,6333,2.77,0.21684600000000004,12612,3.23
96,0.28629099999999996,4672,2.58,0.23875000000000002,9877,2.9899999999999998
97,0.310944,3335,2.4099999999999997,0.261359,7519,2.77
98,0.332325,2298,2.27,0.283899,5554,2.57
99,0.34903599999999996,1534,2.15,0.30649099999999996,3977,2.3899999999999997
100,0.366568,999,2.04,0.32968000000000003,2758,2.23
101,0.38496,633,1.93,0.35333299999999995,1849,2.08
102,0.404252,389,1.83,0.3773,1196,1.94
103,0.4244880000000001,232,1.72,0.40141600000000005,745,1.82
104,0.445712,133,1.6300000000000001,0.425501,446,1.7
105,0.467998,74,1.54,0.45103099999999996,256,1.59
106,0.491398,39,1.45,0.478092,141,1.48
107,0.515968,20,1.36,0.5067780000000001,73,1.3800000000000001
108,0.541766,10,1.28,0.537185,36,1.29
109,0.5688540000000001,4,1.2,0.5688540000000001,17,1.2
110,0.597297,2,1.1300000000000001,0.597297,7,1.1300000000000001
111,0.6271619999999999,1,1.05,0.6271619999999999,3,1.05
112,0.65852,0,0.98,0.65852,1,0.98
113,0.6914459999999999,0,0.92,0.6914459999999999,0,0.92
114,0.7260179999999999,0,0.8500000000000001,0.7260179999999999,0,0.8500000000000001
115,0.762319,0,0.7899999999999999,0.762319,0,0.7899999999999999
116,0.800435,0,0.74,0.800435,0,0.74
117,0.840457,0,0.6799999999999999,0.840457,0,0.6799999999999999
118,0.8824799999999999,0,0.63,0.8824799999999999,0,0.63
119,0.9266040000000001,0,0.58,0.9266040000000001,0,0.58
